rebalance_date,experiment_id,dimension_tested,family,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,ticker,weight
2026-05-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,ETH-USD,3.818558779354953e-18
2026-05-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,GLD,0.1207006710798138
2026-05-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,QQQ,0.17929932892018627
2026-05-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,SPY,0.35000000000000003
2026-05-01,covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,252,0.0,monthly,ledoit_wolf,TLT,0.35
2019-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.011705949835141706
2019-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,5.223544890873384e-19
2019-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,6.342762653451289e-17
2019-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.2882940501648584
2019-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.01599121449830966
2019-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2019-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,4.8924346709826876e-17
2019-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.2840087855016904
2019-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-03-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.01703486303800827
2019-03-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2019-03-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-03-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0
2019-03-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.28296513696199194
2019-03-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.012998787057869002
2019-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2019-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,5.5314403008997907e-17
2019-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.28700121294213105
2019-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.006128823267334087
2019-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,7.54030867026405e-18
2019-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0
2019-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.29387117673266605
2019-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-06-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.006367691679626905
2019-06-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2019-06-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-06-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,2.99514859903424e-17
2019-06-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.2936323083203732
2019-06-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.006557123029784652
2019-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2019-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2019-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0
2019-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.2934428769702155
2019-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-08-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,8.785336429829125e-18
2019-08-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0004598188503289862
2019-08-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.3484862783697473
2019-08-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0
2019-08-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.3010539027799237
2019-08-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-09-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,7.293363605627209e-18
2019-09-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0022531772642105704
2019-09-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.33181719214126604
2019-09-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,7.057924351251145e-17
2019-09-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.3159296305945234
2019-09-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.0
2019-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.003209029149522589
2019-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.3058042304508636
2019-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,3.3064996403538976e-17
2019-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.3409867403996139
2019-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-11-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.0
2019-11-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.004340707538499506
2019-11-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.2956592924615007
2019-11-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,3.861973187767477e-17
2019-11-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.3499999999999999
2019-11-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2019-12-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.002502777880076679
2019-12-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0058700993302206305
2019-12-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.2697534015697808
2019-12-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.02187372121992202
2019-12-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.35
2019-12-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.008897774588574646
2020-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.002289437953776765
2020-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.2127676664045736
2020-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.07604512105307494
2020-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.35000000000000003
2020-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35000000000000003
2020-02-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.011284717902607702
2020-02-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0010531365657697905
2020-02-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.19748175678407043
2020-02-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.09018038874755205
2020-02-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.35000000000000003
2020-02-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35000000000000003
2020-03-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.009523630262187341
2020-03-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,1.827921349018941e-19
2020-03-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.22947765606156004
2020-03-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.06099871367625262
2020-03-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.35000000000000003
2020-03-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35000000000000003
2020-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,1.3987138574618916e-17
2020-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2020-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.18724752477925002
2020-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.11275247522075005
2020-04-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.0
2020-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,7.141732797008758e-18
2020-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.12124065057135677
2020-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.17875934942864335
2020-05-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-06-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,1.1658058788831733e-17
2020-06-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,3.8497378974865874e-19
2020-06-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-06-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.11354691827930331
2020-06-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.18645308172069683
2020-06-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,2.516039877760829e-17
2020-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2020-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.08975952406650417
2020-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.21024047593349593
2020-07-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-08-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.0
2020-08-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,7.68284025037849e-18
2020-08-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-08-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.08497484208766745
2020-08-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.21502515791233257
2020-08-03,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-09-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,1.3198362462764606e-17
2020-09-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,3.8328969896334815e-18
2020-09-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-09-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0019266144167577326
2020-09-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.2980733855832423
2020-09-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.0
2020-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,9.123371904644141e-18
2020-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,2.7755575615628914e-17
2020-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.30000000000000004
2020-10-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2020-11-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,2.5469666703228797e-17
2020-11-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,0.0
2020-11-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.3499999999999999
2020-11-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0
2020-11-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.3000000000000002
2020-11-02,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.3499999999999999
2020-12-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,6.45419783283587e-18
2020-12-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,8.01968481527027e-19
2020-12-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2020-12-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,1.3877787807814457e-17
2020-12-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.30000000000000004
2020-12-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2021-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,0.0
2021-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,ETH-USD,1.1010853872743268e-17
2021-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,GLD,0.35
2021-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,QQQ,0.0
2021-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,SPY,0.30000000000000016
2021-01-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,TLT,0.35
2021-02-01,covariance_sample_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,sample,BTC-USD,4.4902520850222214e-18
